,Afluencia_RealPisos,VentasPlaza_RealVentas,RedesSociales_RealVisualizaciones,UtilidadNeta_Real,RotacionPersonal_Rotacion,RecuperacionMarca_Real
Enero,76.0,6.0,36475.5,0.6688749999999999,0.0,90.0
Febrero,64.0,6.0,33287.5,1.151875,0.0,98.125
Marzo,80.0,7.0,33287.5,1.151875,0.0,77.125
Abril,43.0,7.0,33287.5,1.151875,0.0,91.0
Mayo,65.0,7.0,36475.5,0.85,0.0,92.0
Junio,59.0,10.0,35280.0,0.85,0.0,85.0
Julio,63.0,10.0,35280.0,0.85,0.0,85.0
Agosto,71.0,10.0,35280.0,0.85,0.0,85.0
Septiembre,58.0,10.0,35280.0,0.85,0.0,85.0
Octubre,72.0,10.0,35280.0,0.85,0.0,85.0
Noviembre,81.0,10.0,35280.0,0.85,0.0,85.0
Diciembre,81.0,10.0,35280.0,0.85,0.0,85.0
