,Plantilla,Operando,Productividad_APVS,Total_Apvs,Apvs_Cumplieron
Ene-25,29.0,28.0,61.0,6.5,2.0
Feb-25,29.0,24.0,42.0,6.5,2.0
Mar-25,29.0,26.0,86.0,8.0,3.0
Abr-25,30.0,27.0,90.0,9.0,4.0
May-25,31.0,28.0,91.0,11.0,5.0
Jun-25,33.0,29.0,95.0,14.0,11.5
Jul-25,33.0,30.0,78.0,14.0,6.0
Ago-25,34.0,32.0,54.0,13.0,2.0
Sep-25,35.0,34.0,87.0,12.0,7.0
Oct-25,36.0,34.0,76.0,15.0,6.0
Nov-25,36.0,34.0,81.0,15.0,7.0
Dic-25,36.0,32.0,60.0,14.0,4.0
Ene-26,37.0,33.0,91.0,11.0,7.0
Feb-26,40.0,37.0,67.0,15.0,7.0
Mar-26,42.0,38.0,71.0,15.0,7.0
Abr-26,44.0,40.0,74.0,14.0,7.0
May-26,44.0,40.0,82.0,12.0,4.0
Jun-26,44.0,42.0,82.0,12.0,5.0
Jul-26,44.0,42.0,,,
